centering_mode,delta_over_ceiling_2d,matched_over_ceiling_2d,model_object,session,transform_mode
baseline,0.22387911267660976,0.9835208164165152,B_model,Allen_2022-02-16,x_negy
baseline,0.2205714269132425,1.0043478011882998,B_model,Allen_2022-02-16,x_negy
current,0.23632568827243533,0.995594866846612,B_model,Allen_2022-02-16,x_negy
current,0.23684911232209943,0.9876731074253264,B_model,Allen_2022-02-16,x_negy
baseline,0.13659282224349853,0.8199392288017124,B_model,Allen_2022-02-16,xy
baseline,0.12829317368612558,0.833299981049216,B_model,Allen_2022-02-16,xy
current,0.1918095425671775,0.8807850290840448,B_model,Allen_2022-02-16,xy
current,0.19337867804480463,0.8823766187911007,B_model,Allen_2022-02-16,xy
baseline,0.12864926540463903,0.9353728915689679,FEM_PCs,Allen_2022-02-16,x_negy
baseline,0.13197392507021807,0.9604949167355699,FEM_PCs,Allen_2022-02-16,x_negy
current,0.06603153613956372,0.8757622596569143,FEM_PCs,Allen_2022-02-16,x_negy
current,0.06951206832310768,0.8699650319009898,FEM_PCs,Allen_2022-02-16,x_negy
baseline,0.153635217736054,0.9610119507910797,FEM_PCs,Allen_2022-02-16,xy
baseline,0.16044246146600993,0.971293448469785,FEM_PCs,Allen_2022-02-16,xy
current,0.1410013076852895,0.9522145462371092,FEM_PCs,Allen_2022-02-16,xy
current,0.15163008871925315,0.9543818707602256,FEM_PCs,Allen_2022-02-16,xy
baseline,-0.182645256810686,0.2809443206856093,J_local,Allen_2022-02-16,x_negy
baseline,-0.1901767872758608,0.283153673091183,J_local,Allen_2022-02-16,x_negy
current,-0.18439294556333446,0.28146487038345425,J_local,Allen_2022-02-16,x_negy
current,-0.1812094921156897,0.2815855096016217,J_local,Allen_2022-02-16,x_negy
baseline,-0.182645256810686,0.2809443206856093,J_local,Allen_2022-02-16,xy
baseline,-0.1901767872758608,0.283153673091183,J_local,Allen_2022-02-16,xy
current,-0.18439294556333446,0.28146487038345425,J_local,Allen_2022-02-16,xy
current,-0.1812094921156897,0.2815855096016217,J_local,Allen_2022-02-16,xy
