b_emp_model_y_corr_current,b_emp_model_y_corr_x_negy,centering_mode,delta_2d_current,delta_2d_x_negy,delta_top1_current,delta_top1_x_negy,matched_2d_current,matched_2d_x_negy,matched_top1_current,matched_top1_x_negy,model_object,predictor_mode,session
0.6144767929898591,-0.5529992286965983,baseline,0.05979033153422181,0.09806560370934761,0.05306308045407766,0.07961033422558184,0.35752383475518157,0.43070774600753764,0.21310454565428358,0.3833602676092611,B_model,emp_x_negy,Allen_2022-02-16
0.610002321961726,-0.551384983682852,baseline,0.05377758472425695,0.09348425801817814,0.04616641742890998,0.07883521458124651,0.35816848969888815,0.42659708191686635,0.20699087474218603,0.3858585422534946,B_model,emp_xy,Allen_2022-02-16
0.5937310613053122,-0.5941660538676982,current,0.0833569622971683,0.10181716931054632,-0.0880581961306281,0.03393414514726638,0.38279193808043255,0.42899728526527525,0.22375357643921867,0.35553895584020667,B_model,emp_x_negy,Allen_2022-02-16
0.5909301041550483,-0.58958843491442,current,0.08393817931435957,0.10257365199569612,-0.08913310196685477,0.03187369978175553,0.3828738100432554,0.42787003660769185,0.22430298152891975,0.3548315842481161,B_model,emp_xy,Allen_2022-02-16
nan,nan,baseline,0.0624148492377552,0.05607791942187862,0.1964057349692402,-0.3116670478701977,0.4078916611761214,0.40958455664591886,0.6021683620974455,0.17214262346125395,FEM_PCs,emp_x_negy,Allen_2022-02-16
nan,nan,baseline,0.06458455161868701,0.055925417550163475,0.2039370927832655,-0.30220076142686836,0.40700702641649256,0.40834310949086894,0.6084281563150085,0.17114257708434621,FEM_PCs,emp_xy,Allen_2022-02-16
nan,nan,current,0.05827389932880497,0.02898178279617572,0.15956584123437675,-0.23066834779665576,0.41210209400033115,0.3730594198804861,0.4107425936906513,0.16266251729497205,FEM_PCs,emp_x_negy,Allen_2022-02-16
nan,nan,current,0.0618120143613409,0.03045610623249148,0.16805941001003433,-0.22347569879980095,0.4104618233943652,0.37448996554015973,0.42299199529084547,0.16601751557590957,FEM_PCs,emp_xy,Allen_2022-02-16
nan,nan,baseline,-0.07187595578128841,-0.07187595578128841,-0.07585001261064712,-0.07585001261064712,0.1078206996622133,0.1078206996622133,0.12605380899488056,0.12605380899488056,J_local,emp_x_negy,Allen_2022-02-16
nan,nan,baseline,-0.07373141186448331,-0.07373141186448331,-0.07925423788959488,-0.07925423788959488,0.10771745994066688,0.10771745994066688,0.125611744733526,0.125611744733526,J_local,emp_xy,Allen_2022-02-16
nan,nan,current,-0.07274430253087211,-0.07274430253087211,-0.07531229718430826,-0.07531229718430826,0.1086227687986628,0.1086227687986628,0.12697894773813231,0.12697894773813231,J_local,emp_x_negy,Allen_2022-02-16
nan,nan,current,-0.0717987462048077,-0.0717987462048077,-0.07695758063396008,-0.07695758063396008,0.10917472965698978,0.10917472965698978,0.1285001051177374,0.1285001051177374,J_local,emp_xy,Allen_2022-02-16
